city,country,region,main_attraction,target_keyword
Bali,Indonesia,Asia,Ubud Monkey Forest,best luxury boutique stays in Bali
Tokyo,Japan,Asia,Shibuya Crossing,best boutique city center hotels in Tokyo
Paris,France,Europe,Eiffel Tower,best boutique city center hotels in Paris
New York,United States,Europe,Times Square,best boutique city center hotels in New York
Seoul,South Korea,Asia,Gyeongbokgung Palace,best boutique city center hotels in Seoul
London,United Kingdom,Europe,Big Ben,best boutique city center hotels in London
Bangkok,Thailand,Asia,Grand Palace,best boutique city center hotels in Bangkok
Sydney,Australia,Asia,Sydney Opera House,best affordable beachfront hotels in Sydney
Dubai,UAE,Asia,Burj Khalifa,best luxury boutique stays in Dubai
Singapore,Singapore,Asia,Marina Bay Sands,best luxury boutique stays in Singapore
Kuala Lumpur,Malaysia,Asia,Petronas Twin Towers,best boutique city center hotels in Kuala Lumpur
Rome,Italy,Europe,Colosseum,best boutique city center hotels in Rome
Barcelona,Spain,Europe,Sagrada Familia,best affordable beachfront hotels in Barcelona
Amsterdam,Netherlands,Europe,Anne Frank House,best boutique city center hotels in Amsterdam
Berlin,Germany,Europe,Brandenburg Gate,best boutique city center hotels in Berlin
Hong Kong,China,Asia,Victoria Peak,best luxury boutique stays in Hong Kong
Istanbul,Turkey,Europe,Hagia Sophia,best boutique city center hotels in Istanbul
Cairo,Egypt,Europe,Giza Pyramids,best luxury boutique stays in Cairo
Toronto,Canada,Europe,CN Tower,best boutique city center hotels in Toronto
Maldives,Maldives,Asia,Maafushi Island,best affordable beachfront hotels in Maldives
Kyoto,Japan,Asia,Fushimi Inari Taisha,best luxury boutique stays in Kyoto
Phuket,Thailand,Asia,Patong Beach,best affordable beachfront hotels in Phuket
Hanoi,Vietnam,Asia,Hoan Kiem Lake,best boutique city center hotels in Hanoi
Manila,Philippines,Asia,Intramuros,best boutique city center hotels in Manila
Taipei,Taiwan,Asia,Taipei 101,best boutique city center hotels in Taipei
Zurich,Switzerland,Europe,Lake Zurich,best boutique city center hotels in Zurich
Milan,Italy,Europe,Duomo di Milano,best boutique city center hotels in Milan
Los Angeles,United States,Europe,Hollywood Walk of Fame,best affordable beachfront hotels in Los Angeles
Cape Town,South Africa,Europe,Table Mountain,best luxury boutique stays in Cape Town
Rio de Janeiro,Brazil,Europe,Christ the Redeemer,best affordable beachfront hotels in Rio de Janeiro
Shanghai,China,Asia,The Bund,best boutique city center hotels in Shanghai
Madrid,Spain,Europe,Royal Palace of Madrid,best boutique city center hotels in Madrid
Vienna,Austria,Europe,Schonbrunn Palace,best boutique city center hotels in Vienna
Prague,Czech Republic,Europe,Charles Bridge,best boutique city center hotels in Prague
Menton,France,Europe,Basilique Saint-Michel,best affordable beachfront hotels in Menton
Colmar,France,Europe,Little Venice,best luxury boutique stays in Colmar
Matera,Italy,Europe,Sassi di Matera,best boutique city center hotels in Matera
Alberobello,Italy,Europe,Trulli Houses,best luxury boutique stays in Alberobello
Zell am See,Austria,Europe,Lake Zell,top sustainable eco lodges in Zell am See
Bled,Slovenia,Europe,Lake Bled,top sustainable eco lodges in Bled
Sintra,Portugal,Europe,Pena Palace,best boutique city center hotels in Sintra
Ronda,Spain,Europe,Puente Nuevo,best boutique city center hotels in Ronda
Mostar,Bosnia & Herzegovina,Europe,Stari Most,best boutique city center hotels in Mostar
Kotor,Montenegro,Europe,Bay of Kotor,best affordable beachfront hotels in Kotor
Piran,Slovenia,Europe,Tartini Square,best affordable beachfront hotels in Piran
Hvar,Croatia,Europe,Hvar Fortress,best affordable beachfront hotels in Hvar
Rovinj,Croatia,Europe,Church of St. Euphemia,best affordable beachfront hotels in Rovinj
Gdansk,Poland,Europe,Long Market,best boutique city center hotels in Gdansk
Wroclaw,Poland,Europe,Market Square,best boutique city center hotels in Wroclaw
Brasov,Romania,Europe,Black Church,best boutique city center hotels in Brasov
Sibiu,Romania,Europe,Council Tower,best boutique city center hotels in Sibiu
Cesky Krumlov,Czech Republic,Europe,Cesky Krumlov Castle,best luxury boutique stays in Cesky Krumlov
Karlovy Vary,Czech Republic,Europe,Mill Colonnade,best luxury boutique stays in Karlovy Vary
Mechelen,Belgium,Europe,St. Rumbold's Tower,best boutique city center hotels in Mechelen
Ghent,Belgium,Europe,Gravensteen,best boutique city center hotels in Ghent
Dinant,Belgium,Europe,Citadel of Dinant,best boutique city center hotels in Dinant
Giethoorn,Netherlands,Europe,Giethoorn Canals,best luxury boutique stays in Giethoorn
Maastricht,Netherlands,Europe,Vrijthof,best boutique city center hotels in Maastricht
Bergen,Norway,Europe,Bryggen,best affordable beachfront hotels in Bergen
Reine,Norway,Europe,Lofoten Islands,top sustainable eco lodges in Reine
Rovaniemi,Finland,Europe,Santa Claus Village,top sustainable eco lodges in Rovaniemi
Porvoo,Finland,Europe,Porvoo Old Town,best luxury boutique stays in Porvoo
Tallinn,Estonia,Europe,Toompea Hill,best boutique city center hotels in Tallinn
Riga,Latvia,Europe,House of the Blackheads,best boutique city center hotels in Riga
Vilnius,Lithuania,Europe,Gediminas' Tower,best boutique city center hotels in Vilnius
Trakai,Lithuania,Europe,Trakai Island Castle,best boutique city center hotels in Trakai
Ohrid,North Macedonia,Europe,Lake Ohrid,best affordable beachfront hotels in Ohrid
Plovdiv,Bulgaria,Europe,Ancient Theatre of Philippopolis,best boutique city center hotels in Plovdiv
Veliko Tarnovo,Bulgaria,Europe,Tsarevets Fortress,best boutique city center hotels in Veliko Tarnovo
